epoch,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
2.533333333333333,1.5078331232070923,0.00018,2.9508,10,,,,,
5.0,1.0158108472824097,0.0001905263157894737,0.9849,20,,,,,
7.533333333333333,0.6549757122993469,0.00018,0.4805,30,,,,,
10.0,1.6297838687896729,0.00016947368421052633,0.2804,40,,,,,
12.533333333333333,0.2338763177394867,0.00015894736842105264,0.1224,50,,,,,
15.0,0.18525256216526031,0.00014842105263157895,0.0971,60,,,,,
17.533333333333335,0.10920358449220657,0.00013789473684210527,0.0799,70,,,,,
20.0,0.12672410905361176,0.00012736842105263158,0.0708,80,,,,,
22.533333333333335,0.12139175832271576,0.00011684210526315791,0.0614,90,,,,,
25.0,0.1578899472951889,0.00010631578947368421,0.0563,100,,,,,
27.533333333333335,0.11304449290037155,9.578947368421052e-05,0.0524,110,,,,,
30.0,0.16462479531764984,8.526315789473685e-05,0.0478,120,,,,,
32.53333333333333,0.16988824307918549,7.473684210526316e-05,0.0424,130,,,,,
35.0,0.1547771692276001,6.421052631578948e-05,0.0396,140,,,,,
37.53333333333333,0.11426808685064316,5.368421052631579e-05,0.0387,150,,,,,
40.0,0.12571001052856445,4.3157894736842105e-05,0.0392,160,,,,,
42.53333333333333,0.10971132665872574,3.2631578947368426e-05,0.0387,170,,,,,
45.0,0.11959493160247803,2.2105263157894736e-05,0.0386,180,,,,,
47.53333333333333,0.1143532544374466,1.1578947368421053e-05,0.0385,190,,,,,
50.0,0.11259417235851288,1.0526315789473685e-06,0.0383,200,,,,,
50.0,,,,200,9999171018031104.0,0.2799371148645878,1159.3463,1.38,0.173
